iter	Passed	Remaining
0	11	3512
1	17	2575
2	21	2082
3	24	1815
4	27	1638
5	31	1539
6	34	1459
7	38	1405
8	42	1372
9	45	1329
10	49	1302
11	52	1268
12	56	1246
13	60	1226
14	63	1206
15	66	1188
16	70	1173
17	74	1160
18	77	1146
19	80	1133
20	84	1124
21	88	1115
22	91	1106
23	95	1098
24	99	1090
25	102	1085
26	106	1077
27	110	1074
28	114	1073
29	118	1065
30	121	1057
31	125	1050
32	128	1041
33	132	1033
34	135	1026
35	138	1014
36	142	1011
37	145	1006
38	149	1001
39	153	996
40	156	991
41	160	985
42	163	979
43	167	972
44	170	968
45	174	964
46	178	958
47	181	953
48	185	948
49	188	944
50	192	939
51	196	935
52	199	931
53	203	926
54	207	922
55	210	919
56	216	923
57	221	924
58	226	924
59	229	918
60	233	915
61	237	912
62	241	908
63	245	904
64	249	900
65	253	897
66	258	899
67	263	899
68	268	897
69	272	895
70	276	893
71	281	890
72	285	886
73	291	889
74	294	884
75	298	880
76	302	875
77	307	874
78	311	870
79	315	866
80	320	865
81	324	861
82	328	857
83	331	852
84	335	847
85	338	842
86	342	837
87	345	832
88	349	827
89	353	823
90	356	819
91	360	815
92	364	811
93	367	806
94	371	802
95	375	798
96	379	794
97	383	790
98	387	785
99	390	780
100	394	777
101	398	772
102	401	767
103	404	763
104	408	758
105	412	754
106	415	749
107	419	745
108	422	740
109	426	736
110	429	731
111	433	727
112	437	723
113	440	719
114	444	714
115	447	710
116	451	706
117	454	701
118	458	697
119	461	692
120	465	689
121	469	684
122	472	680
123	476	676
124	480	673
125	484	669
126	488	665
127	491	660
128	495	656
129	498	652
130	502	648
131	506	644
132	509	640
133	513	636
134	517	632
135	520	628
136	524	624
137	528	619
138	531	616
139	535	611
140	538	607
141	542	603
142	546	599
143	549	595
144	553	591
145	557	587
146	560	583
147	564	579
148	567	575
149	572	572
150	575	568
151	579	563
152	583	560
153	586	556
154	590	552
155	594	548
156	597	544
157	601	540
158	605	536
159	608	532
160	612	528
161	616	524
162	619	520
163	623	516
164	626	512
165	630	508
166	634	505
167	637	501
168	641	497
169	645	493
170	648	489
171	652	485
172	655	481
173	659	477
174	663	473
175	666	469
176	670	465
177	674	462
178	678	458
179	681	454
180	685	450
181	689	446
182	692	442
183	696	438
184	699	435
185	703	431
186	707	427
187	710	423
188	714	419
189	717	415
190	721	411
191	724	407
192	728	403
193	731	399
194	735	396
195	739	392
196	743	388
197	746	384
198	750	380
199	753	376
200	757	372
201	760	369
202	764	365
203	768	361
204	771	357
205	775	353
206	779	349
207	782	346
208	786	342
209	790	338
210	793	334
211	797	331
212	801	327
213	805	323
214	808	319
215	812	315
216	815	312
217	819	308
218	823	304
219	826	300
220	830	296
221	834	293
222	837	289
223	841	285
224	845	281
225	848	277
226	852	274
227	855	270
228	859	266
229	863	262
230	866	258
231	870	255
232	873	251
233	877	247
234	881	243
235	884	239
236	888	236
237	892	232
238	896	228
239	899	224
240	903	221
241	906	217
242	910	213
243	913	209
244	917	205
245	921	202
246	924	198
247	928	194
248	932	190
249	935	187
250	939	183
251	942	179
252	946	175
253	950	172
254	953	168
255	957	164
256	961	160
257	964	157
258	968	153
259	972	149
260	977	145
261	981	142
262	985	138
263	989	134
264	992	131
265	996	127
266	999	123
267	1003	119
268	1007	116
269	1010	112
270	1014	108
271	1018	104
272	1021	101
273	1025	97
274	1029	93
275	1032	89
276	1036	86
277	1040	82
278	1043	78
279	1047	74
280	1050	71
281	1054	67
282	1058	63
283	1061	59
284	1065	56
285	1069	52
286	1072	48
287	1076	44
288	1079	41
289	1084	37
290	1088	33
291	1092	29
292	1096	26
293	1100	22
294	1104	18
295	1108	14
296	1112	11
297	1116	7
298	1119	3
299	1123	0
