iter	Passed	Remaining
0	6	1977
1	12	1915
2	18	1817
3	23	1746
4	28	1693
5	34	1666
6	39	1644
7	45	1662
8	51	1652
9	56	1644
10	61	1627
11	67	1612
12	72	1599
13	77	1583
14	82	1576
15	88	1564
16	93	1553
17	98	1540
18	103	1535
19	109	1526
20	114	1516
21	119	1509
22	124	1503
23	130	1495
24	135	1486
25	140	1478
26	145	1473
27	150	1466
28	156	1464
29	162	1461
30	167	1451
31	172	1445
32	178	1441
33	183	1434
34	188	1427
35	193	1419
36	198	1413
37	204	1407
38	210	1406
39	216	1404
40	221	1401
41	228	1403
42	235	1406
43	241	1402
44	246	1399
45	252	1392
46	258	1389
47	263	1384
48	269	1379
49	274	1372
50	279	1365
51	284	1358
52	290	1352
53	296	1348
54	301	1342
55	306	1336
56	312	1330
57	317	1324
58	322	1319
59	328	1313
60	333	1306
61	338	1301
62	344	1294
63	350	1292
64	355	1286
65	361	1281
66	366	1275
67	371	1268
68	377	1262
69	382	1256
70	387	1250
71	393	1246
72	399	1240
73	404	1235
74	409	1228
75	414	1223
76	420	1217
77	425	1211
78	430	1205
79	436	1199
80	441	1193
81	446	1187
82	452	1182
83	458	1178
84	463	1172
85	468	1166
86	474	1161
87	479	1155
88	485	1150
89	490	1144
90	496	1139
91	501	1134
92	507	1128
93	512	1123
94	517	1117
95	523	1112
96	528	1106
97	534	1100
98	539	1095
99	544	1089
100	549	1083
101	555	1077
102	561	1073
103	566	1068
104	572	1063
105	577	1057
106	583	1051
107	588	1047
108	594	1041
109	599	1035
110	605	1030
111	610	1024
112	615	1018
113	620	1012
114	625	1007
115	631	1001
116	636	995
117	641	990
118	647	984
119	653	979
120	658	974
121	664	968
122	669	963
123	674	957
124	680	952
125	685	946
126	691	941
127	696	935
128	701	929
129	707	924
130	712	918
131	717	913
132	723	907
133	728	902
134	733	896
135	738	890
136	744	885
137	749	879
138	755	874
139	760	869
140	766	863
141	772	859
142	777	853
143	782	848
144	788	842
145	793	836
146	798	831
147	804	825
148	809	820
149	814	814
150	820	809
151	825	803
152	830	798
153	836	792
154	841	787
155	846	781
156	852	776
157	857	770
158	863	765
159	869	760
160	874	755
161	879	749
162	885	744
163	890	738
164	895	732
165	901	727
166	906	721
167	911	716
168	917	711
169	922	705
170	928	700
171	933	694
172	938	689
173	943	683
174	948	677
175	954	672
176	960	667
177	965	661
178	971	656
179	976	650
180	981	645
181	986	639
182	992	634
183	997	628
184	1003	623
185	1008	618
186	1013	612
187	1019	607
188	1024	601
189	1029	595
190	1034	590
191	1039	584
192	1044	579
193	1050	573
194	1055	568
195	1061	563
196	1067	557
197	1072	552
198	1077	546
199	1082	541
200	1088	535
201	1093	530
202	1098	525
203	1104	519
204	1109	514
205	1114	508
206	1119	503
207	1125	497
208	1130	492
209	1136	486
210	1141	481
211	1146	475
212	1151	470
213	1156	464
214	1162	459
215	1168	454
216	1173	448
217	1178	443
218	1184	438
219	1189	432
220	1194	427
221	1200	421
222	1206	416
223	1212	411
224	1218	406
225	1224	401
226	1238	398
227	1271	401
228	1333	413
229	1353	412
230	1368	408
231	1374	402
232	1379	396
233	1385	390
234	1391	384
235	1397	378
236	1402	372
237	1407	366
238	1413	360
239	1419	354
240	1424	348
241	1430	342
242	1435	336
243	1440	330
244	1446	324
245	1451	318
246	1456	312
247	1462	306
248	1467	300
249	1473	294
250	1479	288
251	1484	282
252	1489	276
253	1495	270
254	1500	264
255	1505	258
256	1511	252
257	1517	246
258	1524	241
259	1530	235
260	1536	229
261	1542	223
262	1547	217
263	1552	211
264	1557	205
265	1563	199
266	1568	193
267	1574	187
268	1580	182
269	1587	176
270	1593	170
271	1599	164
272	1604	158
273	1609	152
274	1615	146
275	1620	140
276	1626	135
277	1631	129
278	1636	123
279	1642	117
280	1647	111
281	1652	105
282	1658	99
283	1663	93
284	1668	87
285	1673	81
286	1680	76
287	1686	70
288	1692	64
289	1697	58
290	1702	52
291	1708	46
292	1713	40
293	1718	35
294	1724	29
295	1729	23
296	1734	17
297	1739	11
298	1745	5
299	1750	0
