iter	Passed	Remaining
0	3	1056
1	6	980
2	9	935
3	12	905
4	14	883
5	18	890
6	20	878
7	23	871
8	26	865
9	29	857
10	32	852
11	35	846
12	38	846
13	41	840
14	43	834
15	46	829
16	49	827
17	52	823
18	55	819
19	58	819
20	61	815
21	64	810
22	66	806
23	70	805
24	72	802
25	76	801
26	79	799
27	82	797
28	85	794
29	88	792
30	90	789
31	94	787
32	96	784
33	100	784
34	103	781
35	106	779
36	109	778
37	112	775
38	115	772
39	118	769
40	121	768
41	124	766
42	127	763
43	130	762
44	133	759
45	137	756
46	140	757
47	143	754
48	146	750
49	149	747
50	152	744
51	155	741
52	158	737
53	161	734
54	164	730
55	167	728
56	169	724
57	172	720
58	175	718
59	178	714
60	181	711
61	184	708
62	187	704
63	190	703
64	194	701
65	197	699
66	200	695
67	203	692
68	205	689
69	208	685
70	211	682
71	214	680
72	217	676
73	220	673
74	223	670
75	226	667
76	229	664
77	232	661
78	235	658
79	238	655
80	241	651
81	244	648
82	246	645
83	249	642
84	252	638
85	255	635
86	258	632
87	261	629
88	264	626
89	267	623
90	270	620
91	273	617
92	275	614
93	278	611
94	282	609
95	285	606
96	288	602
97	291	601
98	294	598
99	298	596
100	300	592
101	303	589
102	306	587
103	309	584
104	313	581
105	315	578
106	319	575
107	322	572
108	324	569
109	327	566
110	330	563
111	333	560
112	336	557
113	340	554
114	342	551
115	345	548
116	348	545
117	351	542
118	354	539
119	357	536
120	360	533
121	363	530
122	366	527
123	369	524
124	372	521
125	375	517
126	378	515
127	381	512
128	384	509
129	387	506
130	390	503
131	393	500
132	396	497
133	398	494
134	402	491
135	405	488
136	408	485
137	411	483
138	414	480
139	417	477
140	420	474
141	424	471
142	427	469
143	430	465
144	432	462
145	436	459
146	439	457
147	442	454
148	445	451
149	448	448
150	451	445
151	454	442
152	457	439
153	460	436
154	463	433
155	466	430
156	469	427
157	472	424
158	475	421
159	478	418
160	481	415
161	484	412
162	487	409
163	490	406
164	493	403
165	496	400
166	499	397
167	502	394
168	505	391
169	508	388
170	510	385
171	513	382
172	517	379
173	520	377
174	524	374
175	527	371
176	533	370
177	538	369
178	544	368
179	550	367
180	557	366
181	564	366
182	570	364
183	575	362
184	580	361
185	585	358
186	589	356
187	593	353
188	597	350
189	600	347
190	603	344
191	606	341
192	609	337
193	612	334
194	615	331
195	618	328
196	621	324
197	624	321
198	627	318
199	630	315
200	633	312
201	637	309
202	640	305
203	643	302
204	646	299
205	649	296
206	652	293
207	655	289
208	658	286
209	661	283
210	664	280
211	667	277
212	670	274
213	673	270
214	676	267
215	680	264
216	682	261
217	686	258
218	689	254
219	692	251
220	695	248
221	698	245
222	701	242
223	704	239
224	707	235
225	711	232
226	714	229
227	717	226
228	720	223
229	723	220
230	726	216
231	729	213
232	732	210
233	736	207
234	739	204
235	742	201
236	745	198
237	748	195
238	752	191
239	755	188
240	757	185
241	760	182
242	763	179
243	767	176
244	770	172
245	773	169
246	776	166
247	779	163
248	782	160
249	785	157
250	788	153
251	791	150
252	795	147
253	798	144
254	800	141
255	804	138
256	807	135
257	809	131
258	813	128
259	816	125
260	819	122
261	822	119
262	825	116
263	828	112
264	831	109
265	834	106
266	837	103
267	840	100
268	843	97
269	846	94
270	849	90
271	852	87
272	855	84
273	858	81
274	861	78
275	864	75
276	867	72
277	870	68
278	874	65
279	877	62
280	880	59
281	884	56
282	887	53
283	890	50
284	893	47
285	897	43
286	900	40
287	903	37
288	906	34
289	909	31
290	912	28
291	915	25
292	918	21
293	921	18
294	924	15
295	927	12
296	930	9
297	934	6
298	936	3
299	939	0
