iter	Passed	Remaining
0	44	32658
1	69	25551
2	96	23447
3	124	22684
4	149	21726
5	176	21382
6	187	19470
7	206	18721
8	248	19998
9	273	19759
10	326	21431
11	346	20810
12	375	20784
13	406	20880
14	428	20528
15	439	19697
16	468	19741
17	482	19151
18	491	18486
19	501	17891
20	512	17366
21	521	16853
22	538	16612
23	550	16257
24	578	16370
25	600	16322
26	619	16209
27	643	16214
28	679	16504
29	696	16328
30	718	16275
31	739	16202
32	752	15956
33	762	15668
34	772	15409
35	783	15164
36	794	14947
37	809	14801
38	837	14897
39	846	14669
40	856	14455
41	867	14272
42	893	14334
43	919	14394
44	938	14343
45	962	14381
46	972	14194
47	983	14030
48	995	13896
49	1014	13859
50	1026	13725
51	1052	13778
52	1069	13725
53	1081	13601
54	1109	13681
55	1140	13790
56	1165	13827
57	1181	13753
58	1190	13603
59	1208	13555
60	1229	13543
61	1249	13521
62	1268	13488
63	1282	13408
64	1302	13385
65	1318	13326
66	1347	13395
67	1365	13352
68	1375	13239
69	1394	13209
70	1406	13114
71	1430	13131
72	1449	13104
73	1459	13001
74	1484	13023
75	1508	13044
76	1527	13011
77	1547	12995
78	1559	12909
79	1575	12859
80	1597	12862
81	1610	12786
82	1632	12788
83	1645	12710
84	1660	12658
85	1680	12641
86	1713	12721
87	1727	12664
88	1747	12642
89	1766	12620
90	1790	12632
91	1811	12623
92	1829	12590
93	1851	12587
94	1871	12566
95	1899	12604
96	1918	12578
97	1937	12550
98	1956	12530
99	1975	12502
100	1993	12473
101	2016	12472
102	2032	12431
103	2045	12368
104	2054	12286
105	2062	12198
106	2070	12112
107	2081	12047
108	2092	11979
109	2104	11916
110	2115	11855
111	2124	11781
112	2134	11710
113	2145	11651
114	2160	11610
115	2173	11560
116	2184	11501
117	2196	11445
118	2207	11390
119	2219	11337
120	2230	11280
121	2242	11230
122	2254	11180
123	2267	11135
124	2277	11079
125	2288	11025
126	2297	10963
127	2309	10915
128	2318	10857
129	2327	10796
130	2337	10743
131	2349	10696
132	2359	10644
133	2369	10589
134	2378	10534
135	2389	10487
136	2397	10431
137	2407	10382
138	2419	10338
139	2429	10290
140	2441	10249
141	2466	10264
142	2487	10262
143	2506	10253
144	2536	10286
145	2554	10268
