iter	Passed	Remaining
0	8	1651
1	14	1444
2	20	1367
3	27	1326
4	32	1286
5	39	1266
6	45	1260
7	51	1247
8	58	1232
9	64	1221
10	70	1205
11	76	1199
12	82	1190
13	88	1180
14	95	1173
15	101	1167
16	107	1159
17	113	1150
18	119	1143
19	126	1137
20	132	1127
21	138	1117
22	144	1108
23	149	1099
24	155	1091
25	162	1087
26	168	1080
27	175	1077
28	181	1071
29	187	1063
30	193	1056
31	200	1050
32	206	1042
33	212	1035
34	218	1028
35	224	1024
36	231	1018
37	237	1012
38	243	1006
39	249	999
40	255	991
41	261	985
42	267	978
43	274	972
44	280	965
45	286	959
46	292	952
47	298	945
48	304	938
49	310	932
50	317	926
51	323	921
52	330	916
53	336	909
54	342	903
55	348	897
56	355	891
57	361	884
58	367	877
59	373	871
60	379	865
61	386	859
62	392	853
63	398	846
64	404	839
65	410	833
66	416	826
67	422	820
68	429	814
69	435	808
70	441	801
71	447	795
72	453	788
73	459	782
74	465	775
75	471	769
76	477	763
77	483	756
78	490	750
79	496	744
80	502	738
81	508	732
82	514	725
83	521	719
84	527	713
85	534	707
86	540	701
87	547	696
88	553	689
89	559	683
90	565	677
91	571	670
92	577	664
93	583	658
94	589	651
95	595	645
96	601	639
97	607	632
98	613	626
99	620	620
100	626	614
101	632	607
102	638	601
103	645	595
104	651	589
105	657	582
106	663	576
107	669	569
108	675	563
109	681	557
110	687	551
111	693	545
112	700	538
113	706	532
114	712	526
115	718	520
116	724	514
117	731	508
118	737	502
119	743	495
120	749	489
121	756	483
122	762	477
123	768	471
124	774	464
125	780	458
126	786	452
127	792	445
128	798	439
129	805	433
130	811	427
131	817	421
132	823	414
133	829	408
134	836	402
135	842	396
136	848	390
137	854	384
138	860	377
139	866	371
140	872	365
141	878	358
142	884	352
143	890	346
144	897	340
145	903	334
146	909	327
147	915	321
148	921	315
149	928	309
150	934	303
151	940	296
152	946	290
153	952	284
154	958	278
155	964	272
156	970	265
157	976	259
158	982	253
159	988	247
160	994	240
161	1000	234
162	1006	228
163	1012	222
164	1019	216
165	1024	209
166	1031	203
167	1037	197
168	1044	191
169	1050	185
170	1056	179
171	1062	173
172	1069	166
173	1075	160
174	1081	154
175	1087	148
176	1093	142
177	1099	135
178	1104	129
179	1110	123
180	1117	117
181	1123	111
182	1129	104
183	1135	98
184	1142	92
185	1148	86
186	1154	80
187	1159	74
188	1167	67
189	1173	61
190	1179	55
191	1185	49
192	1191	43
193	1197	37
194	1204	30
195	1210	24
196	1217	18
197	1223	12
198	1229	6
199	1235	0
